Order Date,Region,State,Category,Segment,Sales,Profit,Quantity,Discount,Shipping Mode
2022-12-13,East,Florida,Technology,Home Office,925.78,66.97,3,0.2,First Class
2023-08-29,South,Florida,Office Supplies,Home Office,353.11,86.03,5,0.07,First Class
2022-04-03,West,New York,Office Supplies,Corporate,152.74,26.84,3,0.06,Second Class
2023-02-19,South,California,Office Supplies,Home Office,135.01,36.89,2,0.16,Same Day
2022-05-10,East,California,Furniture,Home Office,54.11,12.0,2,0.01,Second Class
2023-02-19,South,California,Furniture,Home Office,80.93,22.12,9,0.25,Second Class
2023-12-05,Central,New York,Office Supplies,Consumer,677.1,108.9,5,0.1,Second Class
2022-01-20,East,California,Furniture,Consumer,963.3,153.42,10,0.09,Second Class
2023-03-27,South,Illinois,Furniture,Home Office,875.19,111.96,7,0.3,Second Class
2022-05-21,Central,Florida,Office Supplies,Corporate,514.64,40.8,8,0.24,Same Day
2023-05-05,Central,Texas,Office Supplies,Consumer,204.67,42.73,4,0.17,Same Day
2023-07-03,East,Washington,Technology,Consumer,466.85,111.91,8,0.08,Standard Class
2023-05-16,West,Georgia,Office Supplies,Consumer,967.88,316.39,10,0.18,Second Class
2023-05-09,West,Texas,Technology,Corporate,183.52,47.17,2,0.18,First Class
2023-05-13,West,Florida,Technology,Corporate,150.9,8.84,2,0.02,Same Day
2022-11-09,West,New York,Office Supplies,Home Office,728.82,170.14,4,0.04,Same Day
2022-04-08,Central,Illinois,Technology,Home Office,79.9,9.88,3,0.01,First Class
2022-12-31,West,Ohio,Office Supplies,Consumer,516.37,27.69,2,0.2,Second Class
2022-01-30,West,New York,Office Supplies,Home Office,311.98,81.22,5,0.1,Second Class
2022-11-28,East,Washington,Furniture,Home Office,552.53,52.05,7,0.17,Same Day
2023-01-01,Central,Illinois,Technology,Consumer,537.05,185.21,6,0.23,Same Day
2022-12-01,South,Washington,Technology,Home Office,437.39,106.44,6,0.02,Second Class
2023-07-10,West,Florida,Furniture,Corporate,956.35,204.69,2,0.27,First Class
2023-03-04,Central,Florida,Office Supplies,Home Office,545.04,168.27,1,0.24,Same Day
2022-05-26,East,Georgia,Office Supplies,Home Office,771.67,218.76,6,0.29,Standard Class
2023-11-17,East,Texas,Furniture,Home Office,163.17,33.91,6,0.04,Standard Class
2022-07-26,Central,Washington,Furniture,Home Office,685.83,190.87,9,0.05,Second Class
2023-01-31,South,California,Technology,Consumer,540.25,67.78,9,0.23,Second Class
2023-08-05,West,Ohio,Technology,Home Office,823.77,216.95,2,0.27,Second Class
2022-03-21,East,Illinois,Office Supplies,Corporate,728.76,170.83,3,0.01,Same Day
2023-07-29,West,California,Furniture,Corporate,345.74,81.93,3,0.01,First Class
2022-12-02,East,Georgia,Office Supplies,Consumer,802.51,199.42,8,0.27,First Class
2022-01-03,East,Washington,Furniture,Consumer,844.78,72.3,4,0.26,Standard Class
